"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000068526.7",8.55950664360514,3.22561248380023,0.774303170515436,4.16582626370109,3.10226898674869e-05,0.0308000811064108
"ENSMUST00000108373.4",15.800798424281,2.00917707978138,0.479818894394515,4.18736548988294,2.82211171059869e-05,0.0285423356988871
"ENSMUST00000148407.8",31.5037985620513,1.34734663296001,0.319989365016041,4.21059816438734,2.54695422941853e-05,0.0271191565624855
"ENSMUST00000170397.8",25.8098298651452,1.20747702746733,0.30255481111652,3.99093646209549,6.58129118571528e-05,0.0488404931437693
"ENSMUST00000048890.17",86.7479931980692,1.13807251888085,0.268723264004037,4.23510976282186,2.28440094170064e-05,0.0250496496695231
"ENSMUST00000162909.8",878.684831757057,-1.19686305844811,0.292583596864522,-4.09067039736444,4.30128054366789e-05,0.0386870995315696
"ENSMUST00000167483.2",28.1482506924739,-1.30404054981265,0.303921289834412,-4.29071800308278,1.7809635431186e-05,0.0207691445316477
"ENSMUST00000163897.8",26.5950406798564,-1.56769460809492,0.330919470076561,-4.73739005967894,2.16488232604937e-06,0.00481974968522792
"ENSMUST00000238471.2",124.423549620042,-2.55918655004957,0.586911683896058,-4.3604286986776,1.2980787579858e-05,0.0173397360491744
"ENSMUST00000172678.8",2.69825515488496,-4.70950386697678,1.12271864643384,-4.1947320300913,2.73194368637364e-05,0.0282694606611528
"ENSMUST00000194436.2",1.98451579604697,-4.80295933958946,1.16710750808797,-4.11526727941109,3.86731016733654e-05,0.0367148467880432
"ENSMUST00000128651.2",4.07965792177295,-4.81349853005387,1.10006179143762,-4.37566195601006,1.2106451320977e-05,0.0164712754092751
"ENSMUST00000141614.3",2.46286712289795,-5.12881888609203,1.14759394870625,-4.46919303807245,7.85152481457488e-06,0.0122732697149362
"ENSMUST00000195658.2",5.2348980500105,-5.18440709166441,1.15504601855606,-4.48848531433019,7.17313680930973e-06,0.0114565910487647
"ENSMUST00000180046.8",52.0927815001565,-5.44414799821006,1.19144346587556,-4.56937165223302,4.89188633889452e-06,0.00931834077951307
"ENSMUST00000218742.2",3.25877544264037,-5.51512175649502,1.27175101777418,-4.33663640084802,1.44679658468543e-05,0.0180160505559752
"ENSMUST00000107195.9",3.69340627535606,-5.69152847662806,1.09252190611987,-5.20953259128846,1.89316952010266e-07,0.000534958736432393
"ENSMUST00000033994.15",6.83889400405295,-6.08304948009885,0.984876249621642,-6.17646073040726,6.55545050941933e-10,2.29343996893585e-06
"ENSMUST00000146829.8",6.50713448150235,-6.52082809056676,1.22633392664887,-5.31733482118188,1.05298199688051e-07,0.000309446137315257
"ENSMUST00000174547.8",7.65078661116226,-6.75482383037205,1.62635643455321,-4.1533477452178,3.27646244305111e-05,0.0316734762142792
"ENSMUST00000108609.8",7.82411111798631,-6.78469838600369,1.67346704879477,-4.0542766533049,5.0289672405818e-05,0.0424681832411844
"ENSMUST00000130447.4",7.83052286337908,-6.78763611491305,1.61432208385169,-4.20463560698996,2.6150311608773e-05,0.0274462463369277
"ENSMUST00000099529.9",11.5108002448402,-6.8504777583216,1.59032459805695,-4.30759718279619,1.65037590879339e-05,0.0198772897775641
"ENSMUST00000109254.2",8.4069808902611,-6.88777586111474,0.93061699820888,-7.4013002925708,1.3485737732109e-13,4.95391832720158e-09
"ENSMUST00000109731.8",9.43199324190161,-7.05217047904167,1.75406813606663,-4.0204655304073,5.80832479096036e-05,0.0450473516154192
"ENSMUST00000151743.9",9.88243810615607,-7.12295790098141,1.7325449186753,-4.11126881860449,3.93490740937705e-05,0.0367148467880432
"ENSMUST00000233709.2",9.9861918745757,-7.1372185297053,1.69311737756788,-4.2154304387081,2.49302228911429e-05,0.0269352727292556
"ENSMUST00000223206.2",12.3446511200161,-7.4422854989429,1.71228900129762,-4.34639566878193,1.38392831412485e-05,0.017837864791305
"ENSMUST00000108161.9",13.6349695494976,-7.58565861814665,1.70199874871554,-4.45691198296789,8.31487220584486e-06,0.0126861693259068
"ENSMUST00000172748.8",15.2073951380972,-7.74222284750909,1.70474173695399,-4.54158109681928,5.58339000763106e-06,0.00932286546524196
"ENSMUST00000171562.8",73.8440347902037,-24.9297938785634,3.06084104174644,-8.144752876268,3.8005730228073e-16,2.7922429941263e-11
